likes,replies,retweets,text,user_screen_name,tidy_tweet,tokenized_tweet,MNO_label,lang,sentiment
5,3,1,"5 confirmation messages for topping up $1 aitime!!! Tipeiwo maserious, @econet_support",rayaztee1,  confirmation messages for topping up    aitime    tipeiwo maserious   econet support,"['confirmation', 'messages', 'for', 'topping', 'up', 'aitime', 'tipeiwo', 'maserious', 'econet', 'support']",e,True,neutral
1,1,0,econet can you check your DM please,illustriousdee,econet can you check your dm please,"['econet', 'can', 'you', 'check', 'your', 'dm', 'please']",e,True,neg
0,1,0,"@econet_support serial number 71106000334 batch 300012116 , recharge 12340 1615 1377 5 that's the details for an oversratched card , can u help pliz",prospernyamuko1, econet support serial number             batch             recharge                   that s the details for an oversratched card   can u help pliz,"['econet', 'support', 'serial', 'number', 'batch', 'recharge', 'that', 's', 'the', 'details', 'for', 'an', 'oversratched', 'card', 'can', 'u', 'help', 'pliz']",e,True,neutral
3,1,1,"Hi @EcoCashZW, @econet_support,
 
I'm sorry I used your services when they were not functioning properly. I was so dumb, I should have known.

Now, can you please assist me on the way forward. I sent you a DM yesterday in the morning.

Your happy customer,

Ngonidzaishe.https://twitter.com/ngonidzaisheand/status/1110108852362641408 …",ngonidzaisheand,hi  ecocashzw   econet support    i m sorry i used your services when they were not functioning properly  i was so dumb  i should have known   now  can you please assist me on the way forward  i sent you a dm yesterday in the morning   your happy customer   ngonidzaishe   ,"['hi', 'ecocashzw', 'econet', 'support', 'i', 'm', 'sorry', 'i', 'used', 'your', 'services', 'when', 'they', 'were', 'not', 'functioning', 'properly', 'i', 'was', 'so', 'dumb', 'i', 'should', 'have', 'known', 'now', 'can', 'you', 'please', 'assist', 'me', 'on', 'the', 'way', 'forward', 'i', 'sent', 'you', 'a', 'dm', 'yesterday', 'in', 'the', 'morning', 'your', 'happy', 'customer', 'ngonidzaishe']",e,True,neg
0,1,0,@econetzimbabwe @econet_support Hi Econet team see attached screenshots bought data yesterday but it didn’t reflect in my data account but my Ecocash was debited $1.00 for data which I never got. pic.twitter.com/lEropxRsC5,PrinceMukanyawu, econet  econet support hi econet team see attached screenshots bought data yesterday but it didn t reflect in my data account but my ecocash was debited       for data which i never got  ,"['econetzimbabwe', 'econet', 'support', 'hi', 'econet', 'team', 'see', 'attached', 'screenshots', 'bought', 'data', 'yesterday', 'but', 'it', 'didn', 't', 'reflect', 'in', 'my', 'data', 'account', 'but', 'my', 'ecocash', 'was', 'debited', 'for', 'data', 'which', 'i', 'never', 'got']",e,True,neg
1,1,0,"I have given up on @econet_support ,after they confirm you to have won,they don't deliver the prize",gariemubed,i have given up on  econet support  after they confirm you to have won they don t deliver the prize,"['i', 'have', 'given', 'up', 'on', 'econet', 'support', 'after', 'they', 'confirm', 'you', 'to', 'have', 'won', 'they', 'don', 't', 'deliver', 'the', 'prize']",e,True,neg
6,4,4,"If you think blu ticks suck, then you haven’t been ignored by someone ane mari yako @econet_support @EcoCashZW @tudzaa pic.twitter.com/c7YYGft7kP",BarComic,if you think blu ticks suck  then you haven t been ignored by someone ane mari yako  econet support  ecocashzw  tudzaa ,"['if', 'you', 'think', 'blu', 'ticks', 'suck', 'then', 'you', 'haven', 't', 'been', 'ignored', 'by', 'someone', 'ane', 'mari', 'yako', 'econet', 'support', 'ecocashzw', 'tudzaa']",e,True,neg
0,1,0,@econet_support please respond to my dm,kazungapride, econet support please respond to my dm,"['econet', 'support', 'please', 'respond', 'to', 'my', 'dm']",e,True,neg
0,2,0,@econet_support how is this possible minus $4 instead of $1pic.twitter.com/kIaOnOID4H,CTinofirei, econet support how is this possible minus    instead of   ,"['econet', 'support', 'how', 'is', 'this', 'possible', 'minus', 'instead', 'of']",e,True,neg
3,0,1,"But that shit shuld work , when will we ever get to rob Econet neNetone  https://twitter.com/sir_morganc/status/1110225783577067520 …",MayibongweBongo,but that shit shuld work   when will we ever get to rob econet nenetone    ,"['but', 'that', 'shit', 'shuld', 'work', 'when', 'will', 'we', 'ever', 'get', 'to', 'rob', 'econet', 'nenetone']",ec,True,neutral
0,1,0,"I want my $11.
 Ecocash no                 0784581699
Steward Bank account; 1005695119pic.twitter.com/AXsXF7p8zF",Apex69364979,i want my       ecocash no                            steward  account            ,"['i', 'want', 'my', 'ecocash', 'no', 'steward', 'bank', 'account']",e,True,neg
5,2,3,"Got a quick errand? Hail our low cost HWINDI taxi.

Econet : 0775, 
Econet : 0782, 
NetOne : 0713 
Telecel : 0732

The last six digits come out when you type ‘HWINDI’ ; H is 4, W is 9, I is 4, N is 6, D is 3, I is 4 pic.twitter.com/QMPI6hyg3c",HwindiApp,got a quick errand  hail our low cost hwindi taxi   econet          econet          netone         telecel         the last six digits come out when you type  hwindi    h is    w is    i is    n is    d is    i is   ,"['got', 'a', 'quick', 'errand', 'hail', 'our', 'low', 'cost', 'hwindi', 'taxi', 'econet', 'econet', 'netone', 'telecel', 'the', 'last', 'six', 'digits', 'come', 'out', 'when', 'you', 'type', 'hwindi', 'h', 'is', 'w', 'is', 'i', 'is', 'n', 'is', 'd', 'is', 'i', 'is']",ec,True,neg
8,0,0,Why is Econet treating me like a step child?,mi_nenhle,why is econet treating me like a step child ,"['why', 'is', 'econet', 'treating', 'me', 'like', 'a', 'step', 'child']",e,True,neg
2,0,0,"Wow  but it goes with the exchange rate doesn't it? I had already starting cutting my internet usage, because even without a data increase cost, I still can't afford Econet bundles. I wonder by how much those are going to go up?  #Zimlife",tidzo,wow  but it goes with the exchange rate doesn t it  i had already starting cutting my internet usage  because even without a data increase cost  i still can t afford econet s  i wonder by how much those are going to  up   #zimlife,"['wow', 'but', 'it', 'goes', 'with', 'the', 'exchange', 'rate', 'doesn', 't', 'it', 'i', 'had', 'already', 'starting', 'cutting', 'my', 'internet', 'usage', 'because', 'even', 'without', 'a', 'data', 'increase', 'cost', 'i', 'still', 'can', 't', 'afford', 'econet', 'bundles', 'i', 'wonder', 'by', 'how', 'much', 'those', 'are', 'going', 'to', 'go', 'up', '#zimlife']",e,True,neg
1,0,0,Is that’s why they are ripping us apart with shitty service. Also I am 100 percent sure Econet wireless is making a profit. https://twitter.com/techzim/status/1110506506015961088 …,SlimSEM_,is that s why they are ripping us apart with shitty service  also i am     percent sure econet  is making a profit    ,"['is', 'that', 's', 'why', 'they', 'are', 'ripping', 'us', 'apart', 'with', 'shitty', 'service', 'also', 'i', 'am', 'percent', 'sure', 'econet', 'wireless', 'is', 'making', 'a', 'profit']",e,True,neg
1,1,0,Thank you i got an assistance from Steward Bank order has been restored. Thank you,Apex69364979,thank you i got an assistance from steward  order has been restored  thank you,"['thank', 'you', 'i', 'got', 'an', 'assistance', 'from', 'steward', 'bank', 'order', 'has', 'been', 'restored', 'thank', 'you']",e,True,neutral
1,1,1,was using econet twtter..ndaa paden manje n this pic is the sht,Luke_Snow69,was using econet twtter  ndaa paden manje n this pic is the sht,"['was', 'using', 'econet', 'twtter', 'ndaa', 'paden', 'manje', 'n', 'this', 'pic', 'is', 'the', 'sht']",e,True,neutral
221,57,41,"Ndambouyawo kuTelecel for the meantime... ndichazodzoka kuEconet kana Yomix yapedzwa Upgrade.

For the record Free twitter yeku Telecel got media and the bundle lasts longer than the weekly bundle reku econet",TatsNewton,ndambouyawo kutelecel for the meantime    ndichazodzoka kueconet kana yomix yapedzwa upgrade   for the record free  yeku telecel got  and the  lasts longer than the weekly  reku econet,"['ndambouyawo', 'kutelecel', 'for', 'the', 'meantime', 'ndichazodzoka', 'kueconet', 'kana', 'yomix', 'yapedzwa', 'upgrade', 'for', 'the', 'record', 'free', 'yeku', 'telecel', 'got', 'media', 'and', 'the', 'bundle', 'lasts', 'longer', 'than', 'the', 'weekly', 'bundle', 'reku', 'econet']",ec,True,neutral
5,0,3,Econet yaora lately... service is just pathetic manheru chaiwo you can't even get internet  https://twitter.com/Blissy_wacho187/status/1107373367961837568 …,sir_nashmoyo,econet yaora lately    service is just pathetic manheru chaiwo you can t even get internet    ,"['econet', 'yaora', 'lately', 'service', 'is', 'just', 'pathetic', 'manheru', 'chaiwo', 'you', 'can', 't', 'even', 'get', 'internet']",e,True,neg
2,0,0,... Econet is following suit,dorc_savage,    econet is following suit,"['econet', 'is', 'following', 'suit']",e,True,neutral
2,0,0,Hello Econet Twitter,deshe_tanya,hello econet ,"['hello', 'econet']",e,True,neutral
0,2,0,"@econet_support mmmm , ratopera so data!? Barely 3 hours.pic.twitter.com/iUWwT6ks1W",makwarapardon, econet support mmmm   ratopera so data   barely   hours ,"['econet', 'support', 'mmmm', 'ratopera', 'so', 'data', 'barely', 'hours']",e,True,neutral
1,1,0,"@econetzimbabwe @econet_support @elevateyouthzw I think upgrading yomix was a bad idea coz nanhasi here amana still upgrading aahhh, look at us nowpic.twitter.com/sTMD1F43Qs",langfordmagaya, econet  econet support  elevateyouthzw i think upgrading yomix was a bad idea coz nanhasi here amana still upgrading aahhh  look at us now,"['econetzimbabwe', 'econet', 'support', 'elevateyouthzw', 'i', 'think', 'upgrading', 'yomix', 'was', 'a', 'bad', 'idea', 'coz', 'nanhasi', 'here', 'amana', 'still', 'upgrading', 'aahhh', 'look', 'at', 'us', 'now']",e,True,neg
189,118,17,Why are you still using econet?,mistermbika,why are you still using econet ,"['why', 'are', 'you', 'still', 'using', 'econet']",e,True,neg
1055,86,260,"The search and rescue operations by the Econet Group are remarkable

6 helicopters
3 specialised drones
Trucks
20 Ambulances 
Earth Moving Equipment 
Boats

But tomorrow morning we all know what Twimbos will say.",TapiwaMunjoma,the search and rescue operations by the econet group are remarkable    helicopters   specialised drones trucks    ambulances  earth moving equipment  boats  but tomorrow morning we all know what twimbos will say ,"['the', 'search', 'and', 'rescue', 'operations', 'by', 'the', 'econet', 'group', 'are', 'remarkable', 'helicopters', 'specialised', 'drones', 'trucks', 'ambulances', 'earth', 'moving', 'equipment', 'boats', 'but', 'tomorrow', 'morning', 'we', 'all', 'know', 'what', 'twimbos', 'will', 'say']",e,True,neutral
0,0,0,"@econet_support @elevateyouthzw
we're still waiting .!pic.twitter.com/eCyebJ4zPV",i_wayne_officia, econet support  elevateyouthzw we  still waiting   ,"['econet', 'support', 'elevateyouthzw', 'we', 're', 'still', 'waiting']",e,True,neg
292,311,33,Leave a message for Econet using lyrics from any song of your choice,FaffieManhuhwa,leave a message for econet using lyrics from any song of your choice,"['leave', 'a', 'message', 'for', 'econet', 'using', 'lyrics', 'from', 'any', 'song', 'of', 'your', 'choice']",e,True,neutral
234,30,61,"My relationship with Econet, ndakagarira line rangu chete pic.twitter.com/WnbZ9a6RsW",4our_Zw,my relationship with econet  ndakagarira line rangu chete ,"['my', 'relationship', 'with', 'econet', 'ndakagarira', 'line', 'rangu', 'chete']",e,True,neutral
45,0,15,Our #Econet Livingstone shop just received a surprise visit from Damafalls Investment who donated goods towards #CycloneIdai relief efforts! A big thank you for your generosity pic.twitter.com/w5URCLZb4p,fayaz_king,our #econet livingstone  just received a surprise visit from damafalls investment who donated goods towards #cycloneidai relief efforts  a big thank you for your generosity ,"['our', '#econet', 'livingstone', 'shop', 'just', 'received', 'a', 'surprise', 'visit', 'from', 'damafalls', 'investment', 'who', 'donated', 'goods', 'towards', '#cycloneidai', 'relief', 'efforts', 'a', 'big', 'thank', 'you', 'for', 'your', 'generosity']",e,True,neutral
103,3,74,"Our team has been working tirelessly to ensure supplies reach those affected by #CycloneIdai

Offloading underway at Econet Group Holding Bay at Silverstream

Tomorrow the team will head out to #Chimanimani pic.twitter.com/TrhL5HK9Wg",fayaz_king,our team has been working tirelessly to ensure supplies reach those affected by #cycloneidai  offloading underway at econet group holding bay at silverstream  tomorrow the team will head out to #chimanimani ,"['our', 'team', 'has', 'been', 'working', 'tirelessly', 'to', 'ensure', 'supplies', 'reach', 'those', 'affected', 'by', '#cycloneidai', 'offloading', 'underway', 'at', 'econet', 'group', 'holding', 'bay', 'at', 'silverstream', 'tomorrow', 'the', 'team', 'will', 'head', 'out', 'to', '#chimanimani']",e,True,neutral
42,16,3,"Nhai ECONET

Chichadzoka here chi ELEVATE YOMIX ichi??

Or we have been Kweséd for the 2nd time pic.twitter.com/pGPyQ0mHxI",MandeSimba,nhai econet  chichadzoka here chi elevate yomix ichi    or we have been kwes d for the  nd time ,"['nhai', 'econet', 'chichadzoka', 'here', 'chi', 'elevate', 'yomix', 'ichi', 'or', 'we', 'have', 'been', 'kwes', 'd', 'for', 'the', 'nd', 'time']",e,True,neg
144,3,45,#CycloneIdai has left a trail of destruction in Chimanimani and Chipinge areas. @HigherlifeFDN and the whole Econet group are commited to assist with the transportation and delivery of relief supplies to the affected areas. Let’s do all we can to help save lives. pic.twitter.com/WMSt2VV6R3,HigherLifeFDN,#cycloneidai has left a trail of destruction in chimanimani and chipinge areas   higherlifefdn and the whole econet group are commited to assist with the transportation and delivery of relief supplies to the affected areas  let s do all we can to help save lives  ,"['#cycloneidai', 'has', 'left', 'a', 'trail', 'of', 'destruction', 'in', 'chimanimani', 'and', 'chipinge', 'areas', 'higherlifefdn', 'and', 'the', 'whole', 'econet', 'group', 'are', 'commited', 'to', 'assist', 'with', 'the', 'transportation', 'and', 'delivery', 'of', 'relief', 'supplies', 'to', 'the', 'affected', 'areas', 'let', 's', 'do', 'all', 'we', 'can', 'to', 'help', 'save', 'lives']",e,True,neutral
31,1,20,#CycloneIdai has caused untold devastation and loss of life. #Econet & @HigherLifeFDN are doing all we can as corporate citizens but we need all other corporate citizens to pitch in. Thanks to all who have donated via @EcoCash. Pray for the thousands displaced. #LeadershipMatterspic.twitter.com/Z5IQjNrLXO,HardyPemhiwa,#cycloneidai has caused untold devastation and loss of life  #econet    higherlifefdn are doing all we can as corporate citizens but we need all other corporate citizens to pitch in  thanks to all who have donated via  ecocash  pray for the thousands displaced  #leadershipmatters,"['#cycloneidai', 'has', 'caused', 'untold', 'devastation', 'and', 'loss', 'of', 'life', '#econet', 'higherlifefdn', 'are', 'doing', 'all', 'we', 'can', 'as', 'corporate', 'citizens', 'but', 'we', 'need', 'all', 'other', 'corporate', 'citizens', 'to', 'pitch', 'in', 'thanks', 'to', 'all', 'who', 'have', 'donated', 'via', 'ecocash', 'pray', 'for', 'the', 'thousands', 'displaced', '#leadershipmatters']",e,True,neutral
102,14,158,"Retweet if Econet is mistreating you ! Let's show them how many of us ain't liking the services provided these days, Yo mix gone, bad networks

@econetzimbabwe",Blissy_wacho187,retweet if econet is mistreating you   let s show them how many of us ain t liking the services provided these days  yo mix gone  bad networks   econet,"['retweet', 'if', 'econet', 'is', 'mistreating', 'you', 'let', 's', 'show', 'them', 'how', 'many', 'of', 'us', 'ain', 't', 'liking', 'the', 'services', 'provided', 'these', 'days', 'yo', 'mix', 'gone', 'bad', 'networks', 'econetzimbabwe']",e,True,neg
21,2,5,"Status at one of the centers established by Econet. Many NGOs, churches and Govt are using it as an operations center. pic.twitter.com/tJL7NVwUzk",freemanchari,status at one of the centers established by econet  many ngos  churches and govt are using it as an operations center  ,"['status', 'at', 'one', 'of', 'the', 'centers', 'established', 'by', 'econet', 'many', 'ngos', 'churches', 'and', 'govt', 'are', 'using', 'it', 'as', 'an', 'operations', 'center']",e,True,neutral
1,1,0,"Hie @econet_support @econetzimbabwe @EcoCashZW im failling to buy airtime via ecocash using #econetplus.
The last time i tried the airtime didnt show but it got deducted from ecocash.
0773525308, thanxpic.twitter.com/FQ2FA7ir4S",Bvuncer,hie  econet support  econet  ecocashzw im failling to buy airtime via ecocash using #econetplus  the last time i tried the airtime didnt show but it got deducted from ecocash              thanx,"['hie', 'econet', 'support', 'econetzimbabwe', 'ecocashzw', 'im', 'failling', 'to', 'buy', 'airtime', 'via', 'ecocash', 'using', '#econetplus', 'the', 'last', 'time', 'i', 'tried', 'the', 'airtime', 'didnt', 'show', 'but', 'it', 'got', 'deducted', 'from', 'ecocash', 'thanx']",e,True,neutral
7,0,0,Its a wrap in zhombe. Thank you to all who came to hear and join @stewardbank #kalifekepurplepic.twitter.com/nBlQoiojdo,TaperaTp,its a wrap in zhombe  thank you to all who came to hear and join  steward #kalifekepurple,"['its', 'a', 'wrap', 'in', 'zhombe', 'thank', 'you', 'to', 'all', 'who', 'came', 'to', 'hear', 'and', 'join', 'stewardbank', '#kalifekepurple']",e,True,neutral
92,7,20,"As the sun sets on Harare, @econetzimbabwe staff volunteers finish loading another truck of goods bound for #CycloneIdia victims, donated by customers & dropped off at Econet Shops. 
Thank you #Zimbabwe . 
Thank you @econetzimbabwe customers! @HigherLifeFDN @CassavaSmartechpic.twitter.com/7Op4EJKwtY",FungaiMandiveyi,as the sun sets on harare   econet staff volunteers finish loading another truck of goods bound for #cycloneidia victims  donated by customers   dropped off at econet shops   thank you #    thank you  econet customers   higherlifefdn  cassavasmartech,"['as', 'the', 'sun', 'sets', 'on', 'harare', 'econetzimbabwe', 'staff', 'volunteers', 'finish', 'loading', 'another', 'truck', 'of', 'goods', 'bound', 'for', '#cycloneidia', 'victims', 'donated', 'by', 'customers', 'dropped', 'off', 'at', 'econet', 'shops', 'thank', 'you', '#zimbabwe', 'thank', 'you', 'econetzimbabwe', 'customers', 'higherlifefdn', 'cassavasmartech']",e,True,neutral
18,6,1,My OCD ass always gets bothered by this Econet message.  I want to edit it to fit in ONE text! What are those 3 characters doing in text 2? pic.twitter.com/crBA3F12Mu,umaGatsheni,my ocd ass always gets bothered by this econet message   i want to edit it to fit in one text  what are those   characters doing in text    ,"['my', 'ocd', 'ass', 'always', 'gets', 'bothered', 'by', 'this', 'econet', 'message', 'i', 'want', 'to', 'edit', 'it', 'to', 'fit', 'in', 'one', 'text', 'what', 'are', 'those', 'characters', 'doing', 'in', 'text']",e,True,neg
7,1,2,After messing up our lives Zanu PF and @econet_support @econetzimbabwe @EcoCashZW will continue having a hold on us. #AnswerOurCalls #EmployMoreCustomerCareAgents #WeAreTired #YouDontEvenReplyDMs #Nxaaapic.twitter.com/W3dt8zedZ6,DyceAllan,after messing up our lives zanu pf and  econet support  econet  ecocashzw will continue having a hold on us  #answerourcalls #employmorecustomercareagents #wearetired #youdontevenreplydms #nxaaa,"['after', 'messing', 'up', 'our', 'lives', 'zanu', 'pf', 'and', 'econet', 'support', 'econetzimbabwe', 'ecocashzw', 'will', 'continue', 'having', 'a', 'hold', 'on', 'us', '#answerourcalls', '#employmorecustomercareagents', '#wearetired', '#youdontevenreplydms', '#nxaaa']",e,True,neutral
16,1,5,"Success does not come from where you come from, it is an inside job - @DrMambondiani the CEO of @stewardbank adressing students during the Global Money Week.
#millennialbanking #GMWpic.twitter.com/nJa5CshOoh",BankSteward,success does not come from where you come from  it is an inside job    drmambondiani the ceo of  steward adressing students during the global money week  #millennialing #gmw,"['success', 'does', 'not', 'come', 'from', 'where', 'you', 'come', 'from', 'it', 'is', 'an', 'inside', 'job', 'drmambondiani', 'the', 'ceo', 'of', 'stewardbank', 'adressing', 'students', 'during', 'the', 'global', 'money', 'week', '#millennialbanking', '#gmw']",e,True,neutral
12,1,5,"She is going to have a house built for her anywhere she chooses in Zimbabwe, with full solar power. And get $1000 monthly for life. Courtesy of Econet Wireless founder. pic.twitter.com/E9I4QuR9G4",SKamhunga,she is going to have a house built for her anywhere she chooses in   with full solar power  and get       monthly for life  courtesy of econet  founder  ,"['she', 'is', 'going', 'to', 'have', 'a', 'house', 'built', 'for', 'her', 'anywhere', 'she', 'chooses', 'in', 'zimbabwe', 'with', 'full', 'solar', 'power', 'and', 'get', 'monthly', 'for', 'life', 'courtesy', 'of', 'econet', 'wireless', 'founder']",e,True,neutral
3,1,1,"#CycloneIdaiUPDATE 

Beautiful humanity in Zimbabwe via rescue teams Econet Wireless has been involved in pic.twitter.com/bYwoxqyHme",SKamhunga,#cycloneidaiupdate   beautiful humanity in  via rescue teams econet  has been involved in ,"['#cycloneidaiupdate', 'beautiful', 'humanity', 'in', 'zimbabwe', 'via', 'rescue', 'teams', 'econet', 'wireless', 'has', 'been', 'involved', 'in']",e,True,neutral
40,4,9,#IWannaDMYouBut I don't know your face because I use econet free twitter bundles ,emekahimself,#iwannadmyoubut i don t know your face because i use econet free  s ,"['#iwannadmyoubut', 'i', 'don', 't', 'know', 'your', 'face', 'because', 'i', 'use', 'econet', 'free', 'bundles']",e,True,neg
3,2,0,"Dear @econet_support 

This is getting oldpic.twitter.com/Tb8EpgvTL9",munhu_wevhu,dear  econet support   this is getting old,"['dear', 'econet', 'support', 'this', 'is', 'getting', 'old']",e,True,neutral
110,12,113,"BREAKING. Kwese TV is licensed to become South Africa's first/next free-to-air broadcaster in 21 years since @etv was licensed. Kwese TV that belongs to the Econet Group has been granted permission by @ICASA_org and will join the SABC and etv, and must launch within 2 years.pic.twitter.com/ej0c2Mwigw",TVwithThinus,breaking  kwese tv is licensed to become south africa s first next free to air broadcaster in    years since  etv was licensed  kwese tv that belongs to the econet group has been granted permission by  icasa org and will join the sabc and etv  and must launch within   years ,"['breaking', 'kwese', 'tv', 'is', 'licensed', 'to', 'become', 'south', 'africa', 's', 'first', 'next', 'free', 'to', 'air', 'broadcaster', 'in', 'years', 'since', 'etv', 'was', 'licensed', 'kwese', 'tv', 'that', 'belongs', 'to', 'the', 'econet', 'group', 'has', 'been', 'granted', 'permission', 'by', 'icasa', 'org', 'and', 'will', 'join', 'the', 'sabc', 'and', 'etv', 'and', 'must', 'launch', 'within', 'years']",e,True,neutral
1,0,0,Participated in the panel where Telecel Group launched Africa Startup Initiative Program #MWC19pic.twitter.com/kkrglO7sOC,NicolasBourg1,participated in the panel where telecel group launched africa startup initiative program #mwc  ,"['participated', 'in', 'the', 'panel', 'where', 'telecel', 'group', 'launched', 'africa', 'startup', 'initiative', 'program', '#mwc']",c,True,neutral
1,2,0,@econet_support nanhasi here guyspic.twitter.com/OgCi6uAZz6,MarshalMakoni, econet support nanhasi here guys,"['econet', 'support', 'nanhasi', 'here', 'guys']",e,True,neg
